recid,Code,Type,Name
1,A1Y001,Harbour,HPT(HTEEDAN PORT TERMINAL)
2,A1Y002,Harbour,AWPT(ASIA WORLD PORT TERMINAL)
3,A1Y003,Harbour,AIPT (AHLONE INTERNATIONL PORT TERMINAL)
4,A1Y005,Harbour,MIP (MYANMAR INDUSTRIAL PORT)
5,A1Y006,Harbour,SPW-A (SULE PAGODA WHARVES/NO.1~4)
6,A1Y007,Harbour,SPW-B (SULE PAGODA WHARVES/NO.5~7)
7,A1Y008,Harbour,BSW (BO AUNG KYAW STREET WHAVES)
8,A1Y009,Harbour,ICD-2 
9,A1Y010,Harbour,MIPL (MYANMAR INTERGRATE PORT LIMITED)
10,A1Y011,Harbour,MITT (MYANMAR INTERNATION TERMINALS THILAWA)
11,A1W001,CFS,HPT(CFS)
12,A1W002,CFS,AWPT(CFS)
13,A1W003,CFS,AIPT(CFS)
14,A1W005,CFS,MIP(CFS)
15,A1W008,CFS,BSW(CFS)
16,A1W011,CFS,MITT(CFS)
17,A1M001,Manufacturing,"(M) INNO IND CO.,LT"
18,A1M002,Manufacturing,(M) KNITTING FACTORY
19,A1M003,Manufacturing,(M) WISE PACIFIC APP
20,A1M004,Manufacturing,(M) WISE PACIFIC APP
21,A1M005,Manufacturing,"(M) YES CO.,LTD"
22,A1M006,Manufacturing,(M)' HAYABUSA GARMEN
23,A1M007,Manufacturing,"A-1 GARMENT CO.,LTD"
24,A1M008,Manufacturing,ABLE GLAD MYANMAR CO
25,A1M009,Manufacturing,"AMG FACTORY CO.,LTD"
26,A1M010,Manufacturing,ASIA ROSE MANUFACTUR
27,A1M011,Manufacturing,"ASMO MYANMAR CO.,LTD"
28,A1M012,Manufacturing,"B&N GARMENT CO.,LTD"
29,A1M013,Manufacturing,BAGARD LINGERIC (YAN
30,A1M014,Manufacturing,BAGO SPORTS GLOVES C
31,A1M015,Manufacturing,"BEAUTY WAVE CO.,LTD"
32,A1M016,Manufacturing,BEST HUBO COMPANY CO
33,A1M017,Manufacturing,BEST INDUSTRIAL COMP
34,A1M018,Manufacturing,BLESSING INTERTRADE 
35,A1M019,Manufacturing,BROOKSTONE GLOBAL HO
36,A1M020,Manufacturing,BURST TRANSMISSION C
37,A1M021,Manufacturing,"CASICO GARMENTCO.,LTD"
38,A1M022,Manufacturing,CHAZON APPAREL MFG 
39,A1M023,Manufacturing,"CHEN'S MYANMAR CO.,L"
40,A1M024,Manufacturing,CHEUNG HIAY MYANMAR 
41,A1M025,Manufacturing,CHINA DAWN GARMENT 
42,A1M026,Manufacturing,"COSTEC INT'L CO.,LTD"
43,A1M027,Manufacturing,COTECK (MYANMAR) IND
44,A1M028,Manufacturing,DAE KWANG INTERNATIO
45,A1M029,Manufacturing,DAGON SEIK-KAN GARME
46,A1M030,Manufacturing,DAGON TALENT GARMENT
47,A1M031,Manufacturing,"DELTA AIG CO.,LTD"
48,A1M032,Manufacturing,DELOTA IND'L GROUP C
49,A1M033,Manufacturing,DESIGNTIME MYANMARCO
50,A1M034,Manufacturing,DONG LONG (MYANMAR) 
51,A1M035,Manufacturing,DONG LONG (PATHEIN) 
52,A1M036,Manufacturing,DOUBLE PACKING (MYAN
53,A1M037,Manufacturing,"DREAM SEED CO.,LTD"
54,A1M038,Manufacturing,"E-M-C MFGCO.,LTD"
55,A1M039,Manufacturing,EARTH TAMURA ELECTRI
56,A1M040,Manufacturing,EAST GROWTH GARMENT 
57,A1M041,Manufacturing,"ESLITE GARMENT CO.,L"
58,A1M042,Manufacturing,ESQUIRE INTERNATIONA
59,A1M043,Manufacturing,"EUCALYPTUS CO.,LTD"
60,A1M044,Manufacturing,EUSEBIO SPORTING (M)
61,A1M045,Manufacturing,"EWHA KNIT CO.,LTD"
62,A1M046,Manufacturing,"FORCE CO.,LTD"
63,A1M047,Manufacturing,"FAMOSO CLOTHING CO.,"
64,A1M048,Manufacturing,FIDELITY GARMENT CO.
65,A1M049,Manufacturing,FOOK HING (SHEW KHA 
66,A1M050,Manufacturing,FTE CONPORATION (M)'
67,A1M051,Manufacturing,FULL WAY MYANMAR CLO
68,A1M052,Manufacturing,"FULLTEX CO.,LTD"
69,A1M053,Manufacturing,GAINWAY INTERNATIONA
70,A1M054,Manufacturing,"GARMENT CO.,LTD"
71,A1M055,Manufacturing,GENERAL ENTERPRISE G
72,A1M056,Manufacturing,GLOBAL APPAREL TEXTI
73,A1M057,Manufacturing,GLOBAL ELECTRIC TECH
74,A1M058,Manufacturing,"GLOBAL FOOTWEAR CO.,"
75,A1M059,Manufacturing,"GLOBAL HAIR CO.,LTD"
76,A1M060,Manufacturing,GOLD EMPIRE (MYANMAR
77,A1M061,Manufacturing,GOLDEN JASMINE INTIM
78,A1M062,Manufacturing,"GOLDEN SHINE CO.,LTD"
79,A1M063,Manufacturing,GOLDEN TRI-LIGHT MYA
80,A1M064,Manufacturing,GOLDEN-5 GARMENT CO.
81,A1M065,Manufacturing,GOLDENBERG MYANMAR I
82,A1M066,Manufacturing,GRAND ENTERPRISES GA
83,A1M067,Manufacturing,GRAND SPORTS INT' CO
84,A1M068,Manufacturing,GREAT FOREVER GARMEN
85,A1M069,Manufacturing,GREAT GLOWING INVEST
86,A1M070,Manufacturing,GREAT WELL INT'L CO.
87,A1M071,Manufacturing,GREAT WORLD WIDE CO.
88,A1M072,Manufacturing,"HERI GARMENT CO.,LT"
89,A1M073,Manufacturing,HAKERS ENTERPRISE MY
90,A1M074,Manufacturing,HANDA (YANGON) GARME
91,A1M075,Manufacturing,HANG KEI MYANMAR GAR
92,A1M076,Manufacturing,HANGZHOU HUNDRED -TE
93,A1M077,Manufacturing,"EMERALD FOOTWEAR MFG CO.,LTD"
94,A1M078,Manufacturing,"HANJEN MFG CO.,LTD"
95,A1M079,Manufacturing,"HARMONY (M)CO.,LTD"
96,A1M080,Manufacturing,"HARVEY HANDBAGS CO.,"
97,A1M081,Manufacturing,HE SHAN (MYANMAR) GA
98,A1M082,Manufacturing,"(M) DAEYOUNG ECLECTRONIC CO.,LTD"
99,A1M083,Manufacturing,HOLLY MYANMAR GARMEN
100,A1M084,Manufacturing,"HONEY GARMENT CO.,LT"
101,A1M085,Manufacturing,"HONG TEX CO.,LTD"
102,A1M086,Manufacturing,"HOPE ONE CO.,LTD"
103,A1M087,Manufacturing,HTUN INTERNATIONAL C
104,A1M088,Manufacturing,HUBOTIME TEXTILE AND
105,A1M089,Manufacturing,HUNG KIU(MYANMAR)GAR
106,A1M090,Manufacturing,HUY KIU (M)' GARMENT
107,A1M091,Manufacturing,HYDRO DYNAMIC INDUST
108,A1M092,Manufacturing,"INLAY SHOESCO.,LTD"
109,A1M093,Manufacturing,"INZALI THIDAR CO.,LT"
110,A1M094,Manufacturing,J & J (M) GARMENT CO
111,A1M095,Manufacturing,J-LAND MYANMAR COMPA
112,A1M096,Manufacturing,JEWEL PAK INTERNATIO
113,A1M097,Manufacturing,"JEWOO MFG CO.,LTD"
114,A1M098,Manufacturing,"JIA MEI GARMENT CO.,"
115,A1M099,Manufacturing,JINLI KNITTING & SHI
116,A1M100,Manufacturing,"JK GARMENT CO.,LTD"
117,A1M101,Manufacturing,"JMKS CO.,LTD"
118,A1M102,Manufacturing,JOC MYANMAR GARMENTS
119,A1M103,Manufacturing,"K-WON & MICC CO.,LTD"
120,A1M104,Manufacturing,"K.H.M CO.,LTD"
121,A1M105,Manufacturing,"K.P.H CO.,LTD"
122,A1M106,Manufacturing,"KAMCAINE MFG(M)CO.,L"
123,A1M107,Manufacturing,KAN THAR BUSINESS GR
124,A1M108,Manufacturing,"KANAAN INT'L CO.,LTD"
125,A1M109,Manufacturing,KARISMA APPAREL (M) 
126,A1M110,Manufacturing,"MYANMAR AYEYARWADDY MFG CO.,LTD"
127,A1M111,Manufacturing,KAYSER MYANMAR MANUF
128,A1M112,Manufacturing,"KEYS SHINE CO.,CO.,L"
129,A1M113,Manufacturing,KING LEAD INDUSTRIAL
130,A1M114,Manufacturing,KITTENISH KNITTING C
131,A1M115,Manufacturing,KM HEALTHCARE MYANMA
132,A1M116,Manufacturing,KO KO DA MYANMAR CO.
133,A1M117,Manufacturing,KOREA LINK INDUSTRIA
134,A1M118,Manufacturing,"KYARLAY APP; CO.,LTD"
135,A1M119,Manufacturing,"LIA INT'L CO.,LTD"
136,A1M120,Manufacturing,LANDSON (MYANMAR) GA
137,A1M121,Manufacturing,"LAT WAR CO.,LTD"
138,A1M122,Manufacturing,LEAD FASHION INDUSTR
139,A1M123,Manufacturing,LEADER ONE (MYANMAR)
140,A1M124,Manufacturing,"LIAN CHEY CO.,LTD"
141,A1M125,Manufacturing,"LICJIN INDUSTRY CO.,"
142,A1M126,Manufacturing,"LITA MYANMAR CO.,LTD"
143,A1M127,Manufacturing,"MACDOCO.,LTD"
144,A1M128,Manufacturing,MAN SUM(MYANMAR)GARM
145,A1M129,Manufacturing,"MANI YANGONCO.,LTD"
146,A1M130,Manufacturing,MANUFACTURE GFT ENTE
147,A1M131,Manufacturing,MEGA ONE GARMENT CO.
148,A1M132,Manufacturing,"MELODY GLOBAL CO.,LT"
149,A1M133,Manufacturing,"MILA GARDEN CO.,LTD"
150,A1M134,Manufacturing,MINGALAR SUMBIRI GAR
151,A1M135,Manufacturing,MINGTEX (MYANMAR) IN
152,A1M136,Manufacturing,"MIRAE (M) CO.,LTD"
153,A1M137,Manufacturing,MOUNT VEBHARA TRADIN
154,A1M138,Manufacturing,"MST UNDERWEAR CO.,LTD"
155,A1M139,Manufacturing,"M.BUWON ELECTRONIC CO.,LTD"
156,A1M140,Manufacturing,"MUSUNG GARMENT CO.,L"
157,A1M141,Manufacturing,MYAN STAR GARMENT CO
158,A1M142,Manufacturing,"MYANMAR APPAREL CO.,"
159,A1M143,Manufacturing,MYANMAR ASIA OPTICAL
160,A1M144,Manufacturing,MYANMAR CENTURY LIAO
161,A1M145,Manufacturing,"MYANMAR DABEE CO.,LT"
162,A1M146,Manufacturing,MYANMAR DYC COMPANY 
163,A1M147,Manufacturing,"MYANMAR HA HAE CO.,L"
164,A1M148,Manufacturing,"MYANMAR HAIR CO.,LTD"
165,A1M149,Manufacturing,MYANMAR HANDSOME GAR
166,A1M150,Manufacturing,"MYANMAR HUAYI CO.,LT"
167,A1M151,Manufacturing,MYANMAR JIALE FASHIO
168,A1M152,Manufacturing,MYANMAR MINDUN GAR M
169,A1M153,Manufacturing,MYANMAR POSTARION CO
170,A1M154,Manufacturing,MYANMAR POU CHEN COM
171,A1M155,Manufacturing,MYANMAR SKYRUN INT'L
172,A1M156,Manufacturing,MYANMAR SOE SAN WIN 
173,A1M157,Manufacturing,MYANMAR SOLAMODA GAR
174,A1M158,Manufacturing,MYANMAR SYNERGY GARM
175,A1M159,Manufacturing,"MYANMAR UNIQUE CO.,L"
176,A1M160,Manufacturing,MYANMAR YANGON RICHA
177,A1M161,Manufacturing,MYANMAR YORK FASHION
178,A1M162,Manufacturing,MYANMAR YUE WING CHE
179,A1M163,Manufacturing,MYANMR LINAG YIDA CO
180,A1M164,Manufacturing,MYNMAR HAOYANG INTER
181,A1M165,Manufacturing,MYNMAR SILVER SPRING
182,A1M166,Manufacturing,"MYUE & SUE CO.,LTD"
183,A1M167,Manufacturing,NADIA PACIFIC APPARE
184,A1M168,Manufacturing,"NATURAL GARMENT CO.,"
185,A1M169,Manufacturing,NEW CENTURY INDUSTRI
186,A1M170,Manufacturing,NEW WAY INDUSTRIALSC
187,A1M171,Manufacturing,"NEXSTAR GARMENT CO.,"
188,A1M172,Manufacturing,NORTH SHORE GROUP CO
189,A1M173,Manufacturing,"OIL -TEX (M)CO.,LTD"
190,A1M174,Manufacturing,"OPAL INT; CO.,LTD"
191,A1M175,Manufacturing,"PANKO MYANMAR CO.,LT"
192,A1M176,Manufacturing,"PEARL GARMENT CO.,LT"
193,A1M177,Manufacturing,PERFECT GAINS GARMEN
194,A1M178,Manufacturing,POLAR NORTH GARMENT 
195,A1M179,Manufacturing,"PROSPERITY CO.,LTD"
196,A1M180,Manufacturing,PWR FASHION COMPANY 
197,A1M181,Manufacturing,RAK CHUN INDUSTRIAL 
198,A1M182,Manufacturing,"REAL STAR MFG CO.,LT"
199,A1M183,Manufacturing,RISING WHITE TIGER M
200,A1M184,Manufacturing,"CMS APPAREL YANGON CO.,LTD"
201,A1M185,Manufacturing,"S-M-C GARMENT CO.,LT"
202,A1M186,Manufacturing,"S.M.K GARMENT CO.,LT"
203,A1M187,Manufacturing,SAIFORM INT'L GARMEN
204,A1M188,Manufacturing,"SAKURA GARMENT CO.,L"
205,A1M189,Manufacturing,SANDHI BROTHERS TRDI
206,A1M190,Manufacturing,"SAWBWA VT CO.,LTD"
207,A1M191,Manufacturing,SEDUNO MYANMAR FASHI
208,A1M192,Manufacturing,SEINUS CL;Q FASHION 
209,A1M193,Manufacturing,SHINING ACCESS GARM
210,A1M194,Manufacturing,SHINSUNG TONGSANG IN
211,A1M195,Manufacturing,SHWE YI ZABE GARMENT
212,A1M196,Manufacturing,SHWE YWET HLA MFG CO
213,A1M197,Manufacturing,SHYANG JHYO YUE COMP
214,A1M198,Manufacturing,"SIOEN MYANMARCO.,LTD"
215,A1M199,Manufacturing,"SKYLEGEND GARM,ENT C"
216,A1M200,Manufacturing,SOUTH BAY MANUGACTUR
217,A1M201,Manufacturing,STAR DRAGON (M)ENTER
218,A1M202,Manufacturing,STAR TEAM MANUFACTUR
219,A1M203,Manufacturing,STARTEX MANUFACTURE 
220,A1M204,Manufacturing,STYLE FASHION ACCESS
221,A1M205,Manufacturing,SUCCESS CREATORS CO
222,A1M206,Manufacturing,SUITSTAR GARMENT CO.
223,A1M207,Manufacturing,"SUN APPAREL CO.,LTD"
224,A1M208,Manufacturing,"SUN CRAFT CO.,LTD"
225,A1M209,Manufacturing,SUN PLEASURE INT'L C
226,A1M210,Manufacturing,"SUN TIME JCK CO.,LTD"
227,A1M211,Manufacturing,"SUN-FLOWER LACE CO.,"
228,A1M212,Manufacturing,"SUNANHUNG TAK CO.,L"
229,A1M213,Manufacturing,"SUNNY SHOES CO.,LTD"
230,A1M214,Manufacturing,SUZHOU SILK FASHION 
231,A1M215,Manufacturing,TAI HONG GARMENT CO.
232,A1M216,Manufacturing,"TAI YI INT'L CO.,LTD"
233,A1M217,Manufacturing,"TAILOR GARMENT CO.,L"
234,A1M218,Manufacturing,TEFEL PACKING INDUST
235,A1M219,Manufacturing,TEK NAY WUNN NI MFG 
236,A1M220,Manufacturing,TEXTILE HANDIWORKS C
237,A1M221,Manufacturing,"TEXTILE PALACE CO.,L"
238,A1M222,Manufacturing,"THE K WORLD CO.,LTD"
239,A1M223,Manufacturing,THEIN WA GARMENTS CO
240,A1M224,Manufacturing,"THY GARMENT CO.,LTD"
241,A1M225,Manufacturing,"TI GARMENT CO.,LTD"
242,A1M226,Manufacturing,TIAN YU INT'L TRADIN
243,A1M227,Manufacturing,TOKYO IN MYANMAR CO.
244,A1M228,Manufacturing,"TOP BANNER CO.,LTD"
245,A1M229,Manufacturing,TOUGH WAY GARMENT CO
246,A1M230,Manufacturing,TRISTATE MYANMAR CO.
247,A1M231,Manufacturing,"TSANG YIH CO.,LTD"
248,A1M232,Manufacturing,"TV APPERAL CO.,LTD"
249,A1M233,Manufacturing,"U.M.H CO.,LTD"
250,A1M234,Manufacturing,"UNIQUE HTT CO.,LTD"
251,A1M235,Manufacturing,"UNIT SPORTS CO.,LTD"
252,A1M236,Manufacturing,UNITEDTEX OVERSEA CO
253,A1M237,Manufacturing,UNIVERSAL APPAREL CO
254,A1M238,Manufacturing,"VENT D'EST (M) CO.,L"
255,A1M239,Manufacturing,KORACE LIMITED
256,A1M240,Manufacturing,VERY IMPRESSIVE PROS
257,A1M241,Manufacturing,"VINCE (MYANMAR) CO.,"
258,A1M242,Manufacturing,"WAN HE GARMENT CO.,L"
259,A1M243,Manufacturing,"WEDGE GAMENT CO.,LTD"
260,A1M244,Manufacturing,WEDTEX FASHION (MYAN
261,A1M245,Manufacturing,WEIJIE (MYANMAR) COL
262,A1M246,Manufacturing,WENG HONG HUNG GAR C
263,A1M247,Manufacturing,WHITE CRANE TEXTILE 
264,A1M248,Manufacturing,"WHITE OWL CO.,LTD"
265,A1M249,Manufacturing,WORLD APPAREL MANUFA
266,A1M250,Manufacturing,WORLD FULL'S MANUFAC
267,A1M251,Manufacturing,WORLDJIN GARMENT CO.
268,A1M252,Manufacturing,YANGON (M) FASHION C
269,A1M253,Manufacturing,YANGON FUKUYAMA APPA
270,A1M254,Manufacturing,YANGON PAN-PACIFIC I
271,A1M255,Manufacturing,YANGTZEKIANG INDUSTR
272,A1M256,Manufacturing,YGN LOTUS GARMENT CO
273,A1M257,Manufacturing,YIMEI FOOTWEAR PRODU
274,A1M258,Manufacturing,"YJ CO.,LTD"
275,A1M259,Manufacturing,YOON WIN MANUFACTURI
276,A1M260,Manufacturing,"YOUNG CLOTHING CO.,L"
277,A1M261,Manufacturing,"YST CO.,LTD"
278,A1M262,Manufacturing,"YUAN RONG SHOES CO.,"
279,A1M263,Manufacturing,ZHEJIANG TONGLI CLOT
